latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38,-18000,America/New_York,GMT-5
,,,,,
time,temperature_2m (%C),weather_code (wmo code),precipitation (mm),wind_speed_100m (km/h),
2024-10-01T00:00,9,53,0.8,36.9,
2024-10-01T01:00,8.5,63,3.9,38.3,
2024-10-01T02:00,8.4,55,1.2,39.8,
2024-10-01T03:00,9.2,51,0.3,37.1,
2024-10-01T04:00,9.4,53,0.8,33.9,
2024-10-01T05:00,10.3,53,0.7,28.9,
2024-10-01T06:00,10.7,51,0.2,25,
2024-10-01T07:00,11.8,55,1.1,22.2,
2024-10-01T08:00,12,3,0,23.3,
2024-10-01T09:00,12.9,3,0,21.8,
2024-10-01T10:00,13.3,51,0.3,18.9,
2024-10-01T11:00,12.9,51,0.4,18.9,
2024-10-01T12:00,12.1,3,0,25.1,
2024-10-01T13:00,11.3,3,0,30.1,
2024-10-01T14:00,11,3,0,28.5,
2024-10-01T15:00,10.7,51,0.3,23.6,
2024-10-01T16:00,10.3,53,0.8,26.5,
2024-10-01T17:00,10,61,1.4,24.6,
2024-10-01T18:00,9.8,53,0.7,22.9,
2024-10-01T19:00,9.8,51,0.1,21.1,
2024-10-01T20:00,9.6,3,0,21.5,
2024-10-01T21:00,9.5,3,0,18.6,
2024-10-01T22:00,9.2,2,0,21.6,
2024-10-01T23:00,8.5,53,0.6,21.5,
2024-10-02T00:00,8.4,55,1,22.1,
2024-10-02T01:00,8.3,51,0.2,23.6,
2024-10-02T02:00,9,3,0,24.7,
2024-10-02T03:00,9.6,3,0,27.3,
2024-10-02T04:00,9.9,3,0,25.2,
2024-10-02T05:00,10.5,51,0.4,24.1,
2024-10-02T06:00,10.7,51,0.3,23,
2024-10-02T07:00,11,51,0.2,24.2,
2024-10-02T08:00,10.3,53,0.6,16.8,
2024-10-02T09:00,10.5,53,0.7,17.5,
2024-10-02T10:00,10.1,51,0.4,20.2,
2024-10-02T11:00,10.5,51,0.1,20,
2024-10-02T12:00,10.2,3,0,16.9,
2024-10-02T13:00,9.9,51,0.1,17.1,
2024-10-02T14:00,10,51,0.2,21.7,
2024-10-02T15:00,10,51,0.1,23.2,
2024-10-02T16:00,9.3,3,0,23.8,
2024-10-02T17:00,9.5,2,0,24.2,
2024-10-02T18:00,9.7,3,0,23.1,
2024-10-02T19:00,9.6,3,0,23,
2024-10-02T20:00,10,51,0.2,21.5,
2024-10-02T21:00,9.8,51,0.1,22.2,
2024-10-02T22:00,9.6,61,2.4,24.8,
2024-10-02T23:00,9.6,53,0.7,25.3,
2024-10-03T00:00,9.6,51,0.2,24,
2024-10-03T01:00,9.6,3,0,24.8,
2024-10-03T02:00,10.3,3,0,26.2,
2024-10-03T03:00,11.3,3,0,27.1,
2024-10-03T04:00,12.4,2,0,21.3,
2024-10-03T05:00,13.7,51,0.1,25.9,
2024-10-03T06:00,13.7,53,0.5,24.8,
2024-10-03T07:00,13.3,51,0.1,27.1,
2024-10-03T08:00,14.1,51,0.1,31.4,
2024-10-03T09:00,13.3,1,0,30.9,
2024-10-03T10:00,13.1,2,0,32.2,
2024-10-03T11:00,12.5,1,0,30.1,
2024-10-03T12:00,11.2,1,0,29,
2024-10-03T13:00,10.4,1,0,28.1,
2024-10-03T14:00,10.3,1,0,26.9,
2024-10-03T15:00,10.1,1,0,26.6,
2024-10-03T16:00,9.9,1,0,26.7,
2024-10-03T17:00,9.9,1,0,27,
2024-10-03T18:00,9.9,3,0,27.2,
2024-10-03T19:00,9.9,3,0,27.5,
2024-10-03T20:00,10.2,2,0,26.2,
2024-10-03T21:00,9.9,2,0,25.7,
2024-10-03T22:00,9.6,3,0,26.2,
2024-10-03T23:00,9.7,0,0,28.6,
2024-10-04T00:00,8.9,0,0,27.9,
2024-10-04T01:00,9.2,0,0,28.5,
2024-10-04T02:00,11,0,0,29,
2024-10-04T03:00,12.4,1,0,28.6,
2024-10-04T04:00,13.4,51,0.1,30.3,
2024-10-04T05:00,14.1,51,0.3,29,
