latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38,-18000,America/New_York,GMT-5
,,,,,
time,temperature_2m_mean (°C),precipitation_sum (mm),weather_code (wmo code),,
2024/1/1,5,1.9,53,,
2024/1/2,5.7,14.8,73,,
2024/1/3,8.5,5.4,63,,
2024/1/4,2,2.1,71,,
2024/1/5,0.5,5.2,73,,
2024/1/6,-1.1,1.3,71,,
2024/1/7,-4.2,0.5,73,,
2024/1/8,-7.2,0,0,,
2024/1/9,-7.7,0,0,,
2024/1/10,-6,0,3,,
2024/1/11,-1.4,0,3,,
2024/1/12,-0.1,0.1,51,,
2024/1/13,1.7,4.6,71,,
2024/1/14,1.6,2.4,73,,
2024/1/15,0.1,2.3,73,,
2024/1/16,-1.6,1.3,73,,
2024/1/17,-2.3,2.4,73,,
2024/1/18,-3.1,0,3,,
2024/1/19,-0.4,0,3,,
2024/1/20,-0.4,0,3,,
2024/1/21,0.9,0.1,51,,
2024/1/22,5.9,3.3,55,,
2024/1/23,5,4.8,61,,
2024/1/24,8.3,0.9,51,,
2024/1/25,5.8,0.2,51,,
2024/1/26,5.2,3.5,61,,
2024/1/27,3.3,0,3,,
2024/1/28,1.5,0,3,,
2024/1/29,3.3,0,3,,
2024/1/30,5.8,0.1,51,,
2024/1/31,4.3,1.6,53,,
2024/2/1,6,0.5,51,,
2024/2/2,6.6,1.7,51,,
2024/2/3,8.4,2.3,51,,
2024/2/4,7.5,6.7,61,,
2024/2/5,8.8,6.3,61,,
2024/2/6,9,8.5,63,,
2024/2/7,2.2,1.9,53,,
2024/2/8,1.7,5,73,,
2024/2/9,5.5,14.8,73,,
2024/2/10,8.7,2.6,55,,
2024/2/11,7.1,8.6,53,,
2024/2/12,6,2.4,53,,
2024/2/13,4.4,0.1,51,,
2024/2/14,7.6,4.7,63,,
2024/2/15,10.8,0.6,51,,
2024/2/16,11.8,3.3,55,,
2024/2/17,7,0.3,51,,
2024/2/18,7.1,2.8,53,,
2024/2/19,7.4,4.4,55,,
2024/2/20,7.2,2.4,53,,
2024/2/21,8.5,0.6,51,,
2024/2/22,10.1,5.1,53,,
2024/2/23,5.6,0,3,,
2024/2/24,5.3,0,3,,
2024/2/25,4.3,0,3,,
2024/2/26,5.7,0,3,,
2024/2/27,4.9,0,3,,
2024/2/28,2.1,0,3,,
2024/2/29,4.9,0,3,,
2024/3/1,7.6,0.5,51,,
2024/3/2,8.4,0.2,51,,
2024/3/3,9.7,0,3,,
2024/3/4,8.9,0.3,51,,
2024/3/5,3.2,0,3,,
2024/3/6,4.7,0.5,51,,
2024/3/7,2.6,0,1,,
2024/3/8,3,0,0,,
2024/3/9,5.2,0.8,51,,
2024/3/10,9.2,0,3,,
2024/3/11,8.4,0,3,,
2024/3/12,8.1,0,3,,
2024/3/13,9,0.1,51,,
2024/3/14,10.6,0.2,51,,
2024/3/15,11.7,0,3,,
2024/3/16,7.8,1.4,53,,
2024/3/17,3.5,0,3,,
2024/3/18,1.4,0,3,,
2024/3/19,4.1,0,3,,
2024/3/20,10,0.8,53,,
2024/3/21,9.8,5.9,61,,
2024/3/22,9.8,5.9,55,,
2024/3/23,4.9,5.4,55,,
2024/3/24,4.9,9,61,,
2024/3/25,4.7,0.8,51,,
2024/3/26,8.2,0,3,,
2024/3/27,11.6,0,3,,
2024/3/28,8.7,1.5,53,,
2024/3/29,10.2,0.6,51,,
2024/3/30,14.4,0,3,,
2024/3/31,12.8,0,3,,
2024/4/1,12.9,0.2,51,,
2024/4/2,10.6,3.7,61,,
2024/4/3,9.7,4.7,55,,
2024/4/4,11.3,6.1,61,,
2024/4/5,14.4,2.4,61,,
2024/4/6,16.6,0.1,51,,
2024/4/7,17.8,0,3,,
2024/4/8,18.3,0.2,51,,
2024/4/9,16.8,1.2,51,,
2024/4/10,10.4,0,3,,
2024/4/11,12.7,0,3,,
2024/4/12,15.4,0,3,,
2024/4/13,17.5,0,3,,
2024/4/14,12.1,0.5,51,,
2024/4/15,9.5,4.9,61,,
